Timestamp,"Do you work, live or access services in Klickitat or Skamania County?",Please enter the ZIP CODE for the community you live in:,What are you involved in locally that helps you live a happy life or get support when you need it?,Which of these best describes your housing today?  (mark all that apply),Is HOUSING a challenge in your community?,"If you said 'yes', please mark all the reasons HOUSING is a problem for you or for people you know:",Did you or anyone else in your household lose a job as a result of COVID-19?,Do you have access to the internet at home?,How many people are in your household (sharing income and expenses)?,"During the past year, what was the total gross income for your household?  ",Is EMPLOYMENT a challenge in your community?,"If you said 'yes', please mark all the reasons EMPLOYMENT is a problem for you or for people you know:","During the 12 months BEFORE covid-19 lockdowns in March, did you or the people you live with worry that you would run out of food before you were able to get more?  ","During the months AFTER covid-19 lockdowns, did you or the people you live with worry that you would run out of food before you were able to get more?  ",Is FOOD a challenge in your community?,"If you said 'yes', please mark all the reasons FOOD is a problem for you or for people you know:",Is TRANSPORTATION a challenge in your community?,If you said 'yes' please mark all the reasons TRANSPORTATION is a problem for you or for people you know:,Is HEALTH CARE a challenge in your community?,"If you said 'yes', please mark all the reasons HEALTH CARE is a problem for you or for people you know:",Please mark the gender you most identify with: ,What age group are you in?,Please select the races or ethnicities you most identify with:,Please mark all WAGAP services you currently use:,"Please share how you feel about this statement: ""WAGAP has helped me learn how or where to get services or other things I need in life""","Please share how you feel about this statement: ""Working with WAGAP has made me feel more hopeful about my community or my life.""","If there are other big problems in your community, or you have an idea about how WAGAP could help - or if there is anything else you would like us to know, please explain here:",survey completed in Spanish
9/17/2020 11:18:05,Yes,98602,"Faith group or church, Close friends",I have housing and I am NOT worried about losing it,No,,no,Sometimes,4,"$100,000 or more","Yes, somewhat","People lack skills or education needed, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,"Yes, somewhat",Cost of care is not affordable,Female,18-64 years old,White,Community Youth Center,Agree,Neutral,,
9/23/2020 22:15:32,Yes,98605,"Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat",Cost of rent or house payment,no,Yes,4,"$65,000 to $99,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Male,18-64 years old,White,Community Youth Center,Agree,Agree,,
9/29/2020 19:01:54,Yes,98672,"Community or civic volunteer group, Sports team or club, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of rent or house payment, Property Tax and Rent",no,Yes,4,"$65,000 to $99,999","Yes, somewhat","People lack skills or education needed, Lack of affordable child care during work hours",No,No,No,n/a,"Yes, a BIG problem!",Bridge tolls and pedestrian path,No,n/a,Female,18-64 years old,White,Community Youth Center,Agree,Agree,Youth activities ,
10/15/2020 17:37:19,Yes,98651,"Sports team or club, Close friends, Aerobics classes",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,6,"$65,000 to $99,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,"Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Limited public transportation,"Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Female,18-64 years old,White,"Community Youth Center, Second Hand Rose thrift store",Neutral,Strongly Agree,,
10/05/2020 19:08,Yes,98610,"Community or civic volunteer group, Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Sometimes,8,"$45,000 to $64,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of legal documents (green card, etc)",No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures","Yes, a BIG problem!","Cost of buying and maintaining a car, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options",Female,18-64 years old,White,"Community Youth Center, Second Hand Rose thrift store",Disagree,Neutral,We need more mental health services and better funding for our school,
10/08/2020 10:14,Yes,98672,"Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, somewhat","Cost of utilities, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",no,Yes,5,"$15,000 to $29,999","Yes, somewhat","Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,Sometimes,No,n/a,No,n/a,No,n/a,Female,18-64 years old,White,"Community Youth Center, Second Hand Rose thrift store, Food Bank",Neutral,Neutral,,
9/28/2020 12:32:28,Yes,98672,Close friends,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,No,1,"$15,000 to $29,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Cost of care is not affordable, Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Male,18-64 years old,White,"Community Youth Center, Second Hand Rose thrift store, n/a (none)",Agree,Strongly Agree,,
10/09/2020 03:50,Yes,98639,Faith group or church,I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed",yes,Yes,7,"$65,000 to $99,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,"Yes, many times","Yes, somewhat",Supplies of stuff ran out,"Yes, somewhat",Not sure,"Yes, a BIG problem!",Lack of transportation,Female,18-64 years old,Blue,COVID-19 Relief Fund,Neutral,Neutral,,
9/30/2020 16:57:47,Yes,98672,Faith group or church,I have housing and am NOT worried about losing it,No,Cost of rent or house payment,Yes,Yes,2,"Less than $15,000",No,,No,No,No,,"Yes, somewhat",Cost of buying and maintaining a car,"Yes, somewhat",Language barrier (medical info hard to understand),Female,18-64 years old,Hispanic/Latino/LatinX,COVID-19 Relief Fund,Disagree,Neutral,,yes
10/03/2020 19:47,Yes,98648,Close friends,I have housing and I am NOT worried about losing it,"Yes, somewhat",Not enough housing available to rent or buy,yes,Yes,3,"$45,000 to $64,999","Yes, a BIG problem!","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find",No,No,No,n/a,No,n/a,No,n/a,Female,18-64 years old,Native American/American Indian,COVID-19 Relief Fund,Disagree,Agree,,
10/05/2020 11:28,Yes,98650,Community or civic volunteer group,I have housing and I am NOT worried about losing it,No,,yes,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,No,"Yes, many times","Yes, somewhat",Not enough income to purchase food,"Yes, somewhat",Cost of buying and maintaining a car,"Yes, a BIG problem!",n/a,Male,18-64 years old,White,COVID-19 Relief Fund,Strongly Agree,Agree,,
10/06/2020 20:51,Yes,98639,None,I have housing and I am NOT worried about losing it,No,,yes,Yes,2,"$15,000 to $29,999","Yes, somewhat",Good paying jobs with benefits are hard to find,Sometimes,Sometimes,"Yes, somewhat","Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food",No,,"Yes, a BIG problem!","Lack of adequate insurance, Cost of care is not affordable, Not enough mental health treatment options",Female,18-64 years old,White,COVID-19 Relief Fund,Neutral,Agree,,
12/02/2020 14:56,Yes,98639,Faith group or church,"I am staying in a shelter, a car, a tent or on the street","Yes, a BIG problem!","Cost of utilities, Not enough housing available to rent or buy",no,No,1,"Less than $15,000","Yes, a BIG problem!",People lack skills or education needed,No,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, a BIG problem!","Lack of adequate insurance, Language barrier (medical info hard to understand)",Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance",Neutral,Neutral,,
11/28/2020 11:58:12,Yes,98648,"Hobby groups (books clubs, art club, etc.), Hotel Stay","I am staying in a shelter, a car, a tent or on the street, Other living arrangement (hotel, staying with friends, etc.)","Yes, somewhat","Cost of rent or house payment, Cost of utilities",yes,No,2,"Less than $15,000","Yes, a BIG problem!",Obtaining documents needed for identification ,No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat","Unsure where to go or what services are available, Cost of care is not affordable",Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance",Neutral,Neutral,"Local hotels practices on ìbullyingî people in dire situations into paying for things they cannot afford & then not even being able to provide a safe place; no, fire alarm, power or lighting for restroom or half of rented room, failure to provide paperwork on said room.",
11/28/2020 12:03:29,Yes,98648,"Hobby groups (books clubs, art club, etc.), Hotel Stay","I am staying in a shelter, a car, a tent or on the street, Other living arrangement (hotel, staying with friends, etc.)","Yes, somewhat","Cost of rent or house payment, Cost of utilities",yes,No,2,"Less than $15,000","Yes, a BIG problem!",Obtaining documents needed for identification ,No,No,"Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough income to purchase food","Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline","Yes, somewhat","Unsure where to go or what services are available, Cost of care is not affordable",Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance",Neutral,Neutral,"Local hotels practices on ìbullyingî people in dire situations into paying for things they cannot afford & then not even being able to provide a safe place; no, fire alarm, power or lighting for restroom or half of rented room, failure to provide paperwork on said room.",
11/02/2020 21:13,Yes,98673,Extended family,"I have housing, but I AM WORRIED about losing it",No,,no,Yes,4,"Less than $15,000","Yes, a BIG problem!",Good paying jobs with benefits are hard to find,No,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, a BIG problem!","Unable to get a driverís license, Limited public transportation",No,,Male,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Food Bank",Agree,Agree,,
9/30/2020 15:28:25,Yes,98620,None,"I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Weatherization or repairs (roof, foundation, plumbing, etc.) needed, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,2,"$15,000 to $29,999","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,"Yes, many times","Yes, somewhat","Lack of transportation to grocery stores or markets, Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Language barrier (medical info hard to understand), Not enough alcohol/drug abuse treatment options, Not enough mental health treatment options, Lack of transportation",Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Food Bank, COVID-19 Relief Fund",Agree,Neutral,"drug problem is big problem, the community need to be involve education the drug abuse.",
10/03/2020 20:21,Yes,98610,"Sports team or club, Hobby groups (books clubs, art club, etc.), Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,Yes,6,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",Sometimes,Sometimes,"Yes, somewhat","Lack of transportation to grocery stores or markets, Reduced access to free and reduced school meals because of COVID-19 school closures, Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation","Yes, somewhat","Cost of care is not affordable, Lack of transportation",Female,18-64 years old,Native American/American Indian,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Home Energy Assistance",Strongly Disagree,Strongly Disagree,Many problems with WAGAP and not doing referrals or willing to help people more,
12/01/2020 16:03,Yes,98605,"Sports team or club, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"Less than $15,000",No,n/a,Sometimes,Sometimes,"Yes, somewhat",Not enough income to purchase food,No,n/a,No,n/a,Male,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Home Energy Assistance",Agree,Agree,,
12/01/2020 16:00,Yes,98605,"Hobby groups (books clubs, art club, etc.), Extended family, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,4,"$15,000 to $29,999","Yes, somewhat","Wages are too low to cover monthly expenses, Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours",No,No,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, somewhat","Cost of buying and maintaining a car, Limited public transportation",No,n/a,Female,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Home Energy Assistance",Strongly Agree,Strongly Agree,,
10/05/2020 15:49,Yes,98672,Faith group or church,"I have housing, but I AM WORRIED about losing it","Yes, somewhat",Cost of rent or house payment,Yes,Yes,6,"$30,000 to $44,999",No,,No,Sometimes,No,,No,,No,,Female,18-64 years old,Hispanic/Latino/LatinX,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Home Energy Assistance, COVID-19 Relief Fund",Agree,Agree,,yes
10/06/2020 15:19,Yes,98620,"Faith group or church, Community or civic volunteer group, Hobby groups (books clubs, art club, etc.), Close friends","I am staying in a shelter, a car, a tent or on the street","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",yes,No,2,"Less than $15,000",No,n/a,"Yes, many times","Yes, many times","Yes, a BIG problem!","Not enough alternative food sources available (pantries, food bank, gleaning, etc.), Not enough income to purchase food","Yes, a BIG problem!","Cost of buying and maintaining a car, Cost of gasoline, Limited public transportation","Yes, a BIG problem!","Unsure where to go or what services are available, Lack of adequate insurance, Cost of care is not affordable, Lack of transportation",Male,18-64 years old,Hispanic/Latino/LatinX,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Home Energy Assistance, Food Bank, COVID-19 Relief Fund",Strongly Agree,Strongly Agree,,
10/06/2020 16:34,Yes,98672,"Faith group or church, Extended family, Close friends","I have housing, but I AM WORRIED about losing it","Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy",no,Yes,5,"$15,000 to $29,999","Yes, somewhat","People lack skills or education needed, Wages are too low to cover monthly expenses,   Good paying jobs with benefits are hard to find, Lack of affordable child care during work hours, Lack of legal documents (green card, etc)",No,No,No,,No,,No,,Female,18-64 years old,Hispanic/Latino/LatinX,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Home Energy Assistance, Food Bank, COVID-19 Relief Fund, Christmas gifts ",Agree,Agree,,yes
10/05/2020 22:16,No,98648,"Faith group or church, Community or civic volunteer group, Close friends",I have housing and I am NOT worried about losing it,"Yes, a BIG problem!","Cost of rent or house payment, Cost of utilities, Not enough housing available to rent or buy, Not enough shelter space (domestic violence shelters, warming or homeless shelters)",no,Yes,1,"Less than $15,000","Yes, a BIG problem!","People lack skills or education needed, Good paying jobs with benefits are hard to find",Sometimes,Sometimes,"Yes, somewhat",Lack of transportation to grocery stores or markets,"Yes, somewhat","Cost of buying and maintaining a car, Cost of gasoline, Unable to get a driverís license, Limited public transportation",No,,Male,18-64 years old,White,"Emergency Shelter, Permanent Supportive Housing and Rental Assistance, Housing and Essential Needs (HEN), Food Bank",Strongly Agree,Strongly Agree,With cold we  need a place to shower and all the showers are locked at the fair grounds ,
